CLOCK;MEMORY_USED;PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;PAPI_L2_TCA;PAPI_L3_TCA
1027958756;552960;43972;95633;809;43232;95633
1025201870;552960;43896;96355;463;43133;96355
1024870792;552960;43887;96925;314;43128;96925
1030311636;552960;43887;97747;620;43094;97747
1030934668;552960;43900;95115;322;43129;95115
1029890410;552960;43872;96351;367;43097;96351
1030054982;552960;43946;96539;287;43212;96539
1032320128;552960;43914;97396;1778;43157;97396
1030817304;552960;43867;94225;1205;43085;94225
1043767946;563200;44706;99915;592;43894;99915
1044436094;563200;44655;99540;319;43835;99540
1049912522;563200;44767;100138;525;44001;100138
1044477838;563200;44665;99907;455;43855;99907
1049382532;563200;44694;99875;600;43917;99875
1044165990;563200;44733;99135;396;43942;99135
1043937228;563200;44702;99664;618;43924;99664
1050439386;563200;44714;99150;835;43915;99150
1043469268;563200;44701;99243;438;43922;99243
1049003942;563200;44665;98400;520;43894;98400
1062919212;573440;45540;100432;589;44761;100432
1067910302;573440;45521;100476;508;44717;100476
1068822492;573440;45514;97997;1106;44739;97997
1063973924;573440;45496;99976;731;44699;99976
1070595040;573440;45523;100580;2947;44736;100580
1068873034;573440;45560;98983;1025;44717;98983
1062916344;573440;45523;100517;565;44750;100517
1068114244;573440;45573;100075;647;44789;100075
1063478730;573440;45491;100160;416;44671;100160
1062676688;573440;45455;99288;306;44627;99288
1087507520;583680;46333;102777;397;45495;102777
1083047932;583680;46418;105725;318;45638;105725
1082847056;583680;46347;105422;639;45538;105422
1088424570;583680;46344;105720;1447;45503;105720
1083308782;583680;46337;104929;810;45520;104929
1088053810;583680;46372;105442;785;45607;105442
1088176306;583680;46322;105630;876;45466;105630
1086886346;583680;46294;105559;375;45458;105559
1087045168;583680;46385;105304;411;45572;105304
1082082910;583680;46335;105564;562;45513;105564
1100456930;593920;47179;106780;388;46353;106780
1101868518;593920;47169;106677;726;46355;106677
1101432426;593920;47102;106375;532;46240;106375
1101577308;593920;47190;106529;968;46402;106529
1100867232;593920;47083;106031;604;46210;106031
1101399458;593920;47149;106101;799;46280;106101
1101078038;593920;47140;106778;729;46316;106778
1100402596;593920;46981;105056;778;46199;105056
1101427180;593920;47089;105716;697;46213;105716
1100635160;593920;47165;103866;929;46383;103866
1124376986;604160;47862;104865;1093;46941;104865
1125879148;604160;47931;106317;932;47055;106317
1119654524;604160;47871;105808;764;47010;105808
1124088984;604160;47940;106143;541;47080;106143
1120160100;604160;47928;106798;666;47053;106798
1120455614;604160;48034;108665;1193;47237;108665
1124530262;604160;47921;104939;916;47016;104939
1124908100;604160;47902;107097;985;47023;107097
1119804424;604160;48014;106878;714;47164;106878
1124406266;604160;47948;106479;786;47062;106479
1144001112;614400;48738;108933;1081;47834;108933
1138110760;614400;48710;109129;1040;47787;109129
1142974576;614400;48727;105377;855;47837;105377
1139346866;614400;48775;107733;984;47879;107733
1138601794;614400;48711;109068;1068;47795;109068
1138955590;614400;48718;110176;1264;47818;110176
1139767306;614400;48809;111298;1147;47957;111298
1138573130;614400;48738;111100;796;47848;111100
1138998622;614400;48718;111045;1289;47805;111045
1139329502;614400;48787;111123;1158;47966;111123
1157993332;624640;49493;113222;1237;48546;113222
1157628728;624640;49528;112882;719;48610;112882
1158639136;624640;49617;113096;1097;48751;113096
1163075722;624640;49584;112896;848;48679;112896
1157535356;624640;49516;110563;742;48610;110563
1158662790;624640;49600;112033;1313;48745;112033
1157487526;624640;49557;111658;968;48640;111658
1157661936;624640;49534;109115;1085;48641;109115
1158179758;624640;49517;109599;1439;48614;109599
1158106616;624640;49551;112554;259;48660;112554
1182035750;634880;50350;114054;665;49376;114054
1182234708;634880;50322;114076;1628;49399;114076
1181957646;634880;50337;113169;737;49392;113169
1181597066;634880;50326;113095;771;49370;113095
1177394690;634880;50342;113778;1092;49431;113778
1182770326;634880;50448;114605;1050;49526;114605
1175844550;634880;50327;114667;908;49375;114667
1177073682;634880;50390;108944;1304;49463;108944
1181116984;634880;50395;112495;2771;49462;112495
1176254968;634880;50335;114643;1089;49380;114643
1195413936;645120;51153;110869;987;50207;110869
1201076078;645120;51153;114278;1791;50212;114278
1200960910;645120;51153;114477;1081;50218;114477
1200383376;645120;51145;113523;942;50202;113523
1195440708;645120;51138;113998;1019;50181;113998
1196361120;645120;51253;114737;1456;50354;114737
1195375108;645120;51188;114533;1040;50252;114533
1195720098;645120;51220;114455;1346;50240;114455
1200523906;645120;51106;114574;1282;50146;114574
